policy,candle,fee_bps
PegCapture,247,31.56
PegCapture,249,31.88
PegCapture,251,30.36
PegCapture,252,18.27
PegCapture,254,24.39
PegCapture,255,24.28
PegCapture,256,22.47
PegCapture,258,35.0
PegCapture,261,31.72
PegCapture,262,19.5
PegCapture,263,37.4
PegCapture,264,45.98
PegCapture,265,41.88
PegCapture,266,33.87
PegCapture,269,31.31
PegCapture,270,24.13
PegCapture,275,26.12
PegCapture,276,20.76
PegCapture,279,40.43
PegCapture,280,21.35
PegCapture,287,32.16
PegCapture,288,37.12
PegCapture,289,36.44
PegCapture,290,28.55
PegCapture,293,20.5
PegCapture,295,40.86
PegCapture,298,39.27
PegCapture,301,47.95
PegCapture,302,47.25
PegCapture,303,34.49
PegCapture,306,20.81
PegCapture,307,42.6
PegCapture,308,51.43
PegCapture,309,70.15
PegCapture,310,29.69
PegCapture,311,38.42
PegCapture,313,28.27
PegCapture,314,21.21
PegCapture,315,46.31
PegCapture,316,18.61
PegCapture,319,23.78
PegCapture,321,76.89
PegCapture,322,100.0
PegCapture,323,63.26
PegCapture,324,36.49
PegCapture,325,75.03
PegCapture,326,33.06
PegCapture,329,27.34
PegCapture,330,50.61
PegCapture,331,45.22
PegCapture,332,46.89
PegCapture,333,20.01
PegCapture,334,70.11
PegCapture,335,31.05
PegCapture,337,69.13
PegCapture,338,42.71
PegCapture,343,27.64
PegCapture,344,23.81
PegCapture,345,36.17
PegCapture,346,77.05
PegCapture,347,30.01
PegCapture,351,37.87
PegCapture,352,22.03
PegCapture,356,22.26
PegCapture,357,25.04
PegCapture,359,43.28
PegCapture,361,24.1
PegCapture,364,64.03
PegCapture,365,31.03
PegCapture,366,32.39
PegCapture,371,37.11
PegCapture,372,28.05
PegCapture,373,25.1
PegCapture,375,21.78
PegCapture,378,67.16
PegCapture,379,59.0
PegCapture,380,30.22
PegCapture,383,36.37
PegCapture,386,20.23
PegCapture,389,37.82
PegCapture,391,27.61
PegCapture,396,47.39
PegCapture,397,33.71
PegCapture,401,36.68
PegCapture,402,63.08
PegCapture,403,42.0
PegCapture,404,21.12
PegCapture,405,21.7
PegCapture,407,23.61
PegCapture,410,19.43
PegCapture,411,22.38
PegCapture,412,29.26
PegCapture,421,19.87
PegCapture,422,33.02
PegCapture,423,58.38
PegCapture,426,36.08
PegCapture,427,60.3
PegCapture,428,100.0
PegCapture,429,21.2
PegCapture,432,25.14
PegCapture,434,21.18
PegCapture,435,50.95
PegCapture,436,80.14
PegCapture,437,28.9
PegCapture,444,44.38
PegCapture,446,43.38
PegCapture,450,21.55
PegCapture,457,23.53
PegCapture,459,24.46
PegCapture,461,18.06
PegCapture,462,32.5
PegCapture,464,27.91
PegCapture,465,25.56
PegCapture,466,21.04
PegCapture,473,20.24
PegCapture,475,63.5
PegCapture,478,22.82
PegCapture,480,58.19
PegCapture,481,19.51
PegCapture,483,80.23
PegCapture,485,28.1
PegCapture,487,58.74
PegCapture,488,49.81
PegCapture,489,63.56
PegCapture,490,71.6
PegCapture,491,25.16
PegCapture,492,21.92
PegCapture,493,33.03
PegCapture,494,32.42
PegCapture,495,17.27
PegCapture,496,62.15
PegCapture,497,42.44
PegCapture,498,19.99
PegCapture,500,17.86
PegCapture,501,68.08
PegCapture,502,43.54
PegCapture,504,18.17
PegCapture,506,22.2
PegCapture,507,32.4
PegCapture,508,24.6
PegCapture,509,31.48
PegCapture,510,25.93
PegCapture,513,31.51
PegCapture,514,35.03
PegCapture,518,62.64
PegCapture,519,65.72
PegCapture,520,40.36
PegCapture,521,61.43
PegCapture,523,26.36
PegCapture,525,33.45
PegCapture,527,36.21
PegCapture,528,26.05
PegCapture,529,27.06
PegCapture,531,18.75
PegCapture,532,22.21
PegCapture,536,27.76
PegCapture,537,39.96
PegCapture,541,21.3
PegCapture,542,30.35
PegCapture,545,49.45
PegCapture,551,53.22
PegCapture,554,17.99
PegCapture,555,23.39
PegCapture,558,34.76
PegCapture,559,25.87
PegCapture,560,30.01
PegCapture,562,40.19
PegCapture,563,17.99
PegCapture,564,18.28
PegCapture,566,25.9
PegCapture,570,22.97
PegCapture,571,34.86
PegCapture,572,46.95
PegCapture,573,60.72
PegCapture,574,29.27
PegCapture,581,28.82
PegCapture,589,20.83
PegCapture,590,59.43
PegCapture,591,43.16
PegCapture,592,29.43
PegCapture,593,46.21
PegCapture,594,17.39
PegCapture,596,43.04
PegCapture,598,18.91
PegCapture,600,53.5
PegCapture,601,34.51
PegCapture,603,22.13
PegCapture,605,22.35
PegCapture,614,48.92
PegCapture,615,26.0
PegCapture,616,33.39
PegCapture,618,18.43
PegCapture,623,22.47
PegCapture,624,18.47
PegCapture,626,18.71
PegCapture,627,23.75
PegCapture,628,24.53
PegCapture,630,38.42
PegCapture,631,33.19
PegCapture,636,23.97
PegCapture,637,19.87
PegCapture,642,23.65
PegCapture,643,40.09
PegCapture,647,21.69
PegCapture,648,20.83
PegCapture,653,21.25
PegCapture,654,19.36
PegCapture,655,30.04
PegCapture,660,62.71
PegCapture,661,26.06
PegCapture,663,31.75
PegCapture,665,24.47
PegCapture,666,25.51
PegCapture,670,34.77
PegCapture,674,29.87
PegCapture,676,54.36
PegCapture,678,38.98
PegCapture,679,40.15
PegCapture,680,19.88
PegCapture,681,25.8
PegCapture,682,19.22
PegCapture,687,21.5
PegCapture,690,23.91
PegCapture,691,17.92
PegCapture,692,62.56
PegCapture,694,28.46
PegCapture,695,34.78
PegCapture,697,18.49
PegCapture,699,19.18
PegCapture,704,25.28
PegCapture,707,23.8
PegCapture,710,27.12
PegCapture,712,36.21
PegCapture,714,19.66
PegCapture,716,24.88
PegCapture,719,53.78
PegCapture,720,36.98
PegCapture,723,19.16
PegCapture,724,22.96
PegCapture,726,25.79
PegCapture,728,40.85
PegCapture,729,49.97
PegCapture,735,18.16
PegCapture,740,26.85
PegCapture,741,23.3
PegCapture,742,25.79
PegCapture,743,43.98
PegCapture,744,28.63
PegCapture,751,32.58
PegCapture,754,50.88
PegCapture,755,45.14
PegCapture,756,56.69
PegCapture,757,34.19
PegCapture,758,75.43
PegCapture,759,92.93
PegCapture,760,45.21
PegCapture,763,18.27
PegCapture,767,54.95
PegCapture,768,25.08
PegCapture,770,49.95
PegCapture,771,34.71
PegCapture,772,31.85
PegCapture,777,28.5
PegCapture,781,46.6
PegCapture,788,42.13
PegCapture,791,28.97
PegCapture,794,42.33
PegCapture,795,35.26
PegCapture,796,23.25
PegCapture,799,21.72
PegCapture,802,29.67
PegCapture,803,48.57
PegCapture,807,17.9
PegCapture,812,33.94
PegCapture,817,25.01
PegCapture,821,21.97
PegCapture,822,32.7
PegCapture,823,24.8
PegCapture,826,46.54
PegCapture,828,18.04
PegCapture,831,18.23
PegCapture,834,33.79
PegCapture,835,79.17
PegCapture,836,46.25
PegCapture,840,25.12
PegCapture,841,40.8
PegCapture,842,39.99
PegCapture,855,43.43
PegCapture,857,74.33
PegCapture,862,21.43
PegCapture,866,24.59
PegCapture,869,22.33
PegCapture,870,33.84
PegCapture,871,22.17
PegCapture,877,20.43
PegCapture,882,24.48
PegCapture,883,45.36
PegCapture,885,24.82
PegCapture,886,20.82
PegCapture,895,24.75
PegCapture,898,31.1
PegCapture,899,17.74
PegCapture,900,19.03
PegCapture,905,24.35
PegCapture,907,27.02
PegCapture,910,25.6
PegCapture,916,31.44
PegCapture,921,21.56
PegCapture,926,27.43
PegCapture,930,18.45
PegCapture,938,26.57
PegCapture,942,17.94
PegCapture,944,19.23
PegCapture,949,21.47
PegCapture,954,17.85
PegCapture,960,28.52
PegCapture,962,43.49
PegCapture,963,93.13
PegCapture,964,42.15
PegCapture,966,19.58
PegCapture,967,34.14
PegCapture,968,48.48
PegCapture,969,20.33
PegCapture,971,59.2
PegCapture,972,38.28
PegCapture,975,34.42
PegCapture,976,41.29
PegCapture,977,24.42
PegCapture,978,19.39
PegCapture,990,47.95
PegCapture,991,31.34
PegCapture,992,31.42
PegCapture,994,21.68
PegCapture,995,26.46
PegCapture,1009,65.46
PegCapture,1010,38.91
PegCapture,1013,18.01
PegCapture,1025,25.67
PegCapture,1026,23.9
PegCapture,1027,17.71
PegCapture,1028,19.91
PegCapture,1029,18.35
PegCapture,1035,27.16
PegCapture,1037,32.76
PegCapture,1041,31.47
PegCapture,1042,18.44
PegCapture,1046,17.81
PegCapture,1051,26.13
PegCapture,1052,20.47
PegCapture,1053,38.1
PegCapture,1055,18.14
PegCapture,1058,26.46
PegCapture,1059,18.37
PegCapture,1060,21.09
PegCapture,1064,31.02
PegCapture,1070,18.89
PegCapture,1071,30.92
PegCapture,1079,23.31
PegCapture,1080,38.6
PegCapture,1081,21.53
PegCapture,1082,28.83
PegCapture,1086,21.05
PegCapture,1087,24.93
PegCapture,1088,17.92
PegCapture,1090,18.23
PegCapture,1091,26.58
PegCapture,1093,26.23
PegCapture,1096,19.3
PegCapture,1097,34.7
PegCapture,1103,34.82
PegCapture,1105,45.08
PegCapture,1106,47.21
PegCapture,1107,47.02
PegCapture,1108,22.58
PegCapture,1111,31.54
PegCapture,1112,31.33
PegCapture,1113,28.9
PegCapture,1114,27.84
PegCapture,1119,18.26
PegCapture,1124,27.41
PegCapture,1125,25.32
PegCapture,1127,34.71
PegCapture,1128,44.59
PegCapture,1132,25.3
PegCapture,1133,23.07
PegCapture,1135,25.38
PegCapture,1137,19.62
PegCapture,1153,21.21
PegCapture,1163,30.01
PegCapture,1164,20.42
PegCapture,1165,40.33
PegCapture,1167,18.15
PegCapture,1179,22.28
PegCapture,1182,77.0
PegCapture,1185,18.18
PegCapture,1187,25.34
PegCapture,1196,26.17
PegCapture,1200,31.61
PegCapture,1204,18.57
PegCapture,1208,22.81
PegCapture,1211,32.53
PegCapture,1213,35.99
PegCapture,1217,18.52
PegCapture,1221,29.17
PegCapture,1225,31.64
PegCapture,1226,22.01
PegCapture,1237,31.72
PegCapture,1238,26.62
PegCapture,1242,25.83
PegCapture,1245,26.5
PegCapture,1246,26.12
PegCapture,1261,43.97
PegCapture,1262,18.66
PegCapture,1272,24.16
PegCapture,1274,18.82
PegCapture,1277,20.01
PegCapture,1278,30.69
PegCapture,1279,19.82
PegCapture,1293,27.38
PegCapture,1296,20.0
PegCapture,1303,18.04
PegCapture,1307,18.03
PegCapture,1309,21.97
PegCapture,1312,18.78
PegCapture,1314,20.61
PegCapture,1325,29.39
PegCapture,1326,17.86
PegCapture,1327,34.19
PegCapture,1328,29.24
PegCapture,1332,21.15
PegCapture,1333,26.55
PegCapture,1334,29.76
PegCapture,1338,25.93
PegCapture,1339,22.1
PegCapture,1341,26.05
PegCapture,1344,18.87
PegCapture,1348,20.98
PegCapture,1358,20.19
PegCapture,1359,18.13
PegCapture,1366,19.93
PegCapture,1367,19.85
PegCapture,1368,34.05
PegCapture,1369,25.16
PegCapture,1380,19.9
PegCapture,1381,27.85
PegCapture,1385,19.89
PegCapture,1390,20.88
PegCapture,1391,27.05
PegCapture,1395,29.06
PegCapture,1396,20.45
PegCapture,1402,25.1
PegCapture,1411,18.55
PegCapture,1421,23.26
PegCapture,1422,23.17
PegCapture,1431,19.54
PegCapture,1432,25.31
PegCapture,1433,32.34
BAHook,60,15.0
BAHook,60,46.0
BAHook,61,20.0
BAHook,61,41.0
BAHook,62,25.0
BAHook,62,36.0
BAHook,63,30.0
BAHook,63,41.0
BAHook,64,36.0
BAHook,64,25.0
BAHook,65,30.0
BAHook,65,41.0
BAHook,66,25.0
BAHook,66,46.0
BAHook,67,20.0
BAHook,67,41.0
BAHook,68,25.0
BAHook,68,46.0
BAHook,69,20.0
BAHook,69,51.0
BAHook,70,56.0
BAHook,70,15.0
BAHook,71,10.0
BAHook,71,61.0
BAHook,72,5.0
BAHook,72,56.0
BAHook,72,10.0
BAHook,73,10.0
BAHook,73,51.0
BAHook,74,15.0
BAHook,74,46.0
BAHook,75,51.0
BAHook,75,20.0
BAHook,76,15.0
BAHook,76,46.0
BAHook,76,20.0
BAHook,77,20.0
BAHook,77,41.0
BAHook,78,25.0
BAHook,78,46.0
BAHook,79,20.0
BAHook,79,41.0
BAHook,80,25.0
BAHook,80,36.0
BAHook,81,31.0
BAHook,81,30.0
BAHook,82,35.0
BAHook,82,26.0
BAHook,83,40.0
BAHook,83,31.0
BAHook,84,35.0
BAHook,84,36.0
BAHook,85,30.0
BAHook,85,31.0
BAHook,86,26.0
BAHook,86,35.0
BAHook,87,40.0
BAHook,87,31.0
BAHook,87,31.0
BAHook,88,35.0
BAHook,88,36.0
BAHook,89,30.0
BAHook,89,41.0
BAHook,89,25.0
BAHook,90,46.0
BAHook,90,25.0
BAHook,90,20.0
BAHook,91,41.0
BAHook,91,20.0
BAHook,92,25.0
BAHook,92,36.0
BAHook,93,30.0
BAHook,93,41.0
BAHook,94,25.0
BAHook,94,46.0
BAHook,95,25.0
BAHook,95,20.0
BAHook,95,41.0
BAHook,96,36.0
BAHook,96,25.0
BAHook,97,30.0
BAHook,97,31.0
BAHook,97,35.0
BAHook,98,35.0
BAHook,98,26.0
BAHook,99,40.0
BAHook,99,21.0
BAHook,100,45.0
BAHook,100,26.0
BAHook,101,21.0
BAHook,101,40.0
BAHook,102,26.0
BAHook,102,45.0
BAHook,103,40.0
BAHook,103,21.0
BAHook,104,45.0
BAHook,104,26.0
BAHook,105,40.0
BAHook,105,21.0
BAHook,106,45.0
BAHook,106,26.0
BAHook,107,21.0
BAHook,107,40.0
BAHook,108,45.0
BAHook,108,16.0
BAHook,109,50.0
BAHook,109,11.0
BAHook,110,55.0
BAHook,110,16.0
BAHook,111,50.0
BAHook,111,11.0
BAHook,112,55.0
BAHook,112,16.0
BAHook,113,21.0
BAHook,113,50.0
BAHook,114,45.0
BAHook,114,16.0
BAHook,115,50.0
BAHook,115,21.0
BAHook,116,45.0
BAHook,116,26.0
BAHook,116,40.0
BAHook,117,31.0
BAHook,117,40.0
BAHook,118,36.0
BAHook,118,35.0
BAHook,119,30.0
BAHook,119,31.0
BAHook,120,35.0
BAHook,120,36.0
BAHook,121,30.0
BAHook,121,41.0
BAHook,122,25.0
BAHook,122,36.0
BAHook,123,30.0
BAHook,123,41.0
BAHook,124,36.0
BAHook,124,25.0
BAHook,125,30.0
BAHook,125,31.0
BAHook,125,35.0
BAHook,126,35.0
BAHook,126,26.0
BAHook,126,40.0
BAHook,127,40.0
BAHook,127,31.0
BAHook,128,35.0
BAHook,128,26.0
BAHook,129,21.0
BAHook,129,40.0
BAHook,130,45.0
BAHook,130,16.0
BAHook,131,50.0
BAHook,131,21.0
BAHook,132,45.0
BAHook,132,26.0
BAHook,133,40.0
BAHook,133,21.0
BAHook,134,50.0
BAHook,134,16.0
BAHook,134,45.0
BAHook,135,50.0
BAHook,135,21.0
BAHook,136,45.0
BAHook,136,26.0
BAHook,137,40.0
BAHook,137,31.0
BAHook,138,35.0
BAHook,138,26.0
BAHook,139,21.0
BAHook,139,40.0
BAHook,140,45.0
BAHook,140,26.0
BAHook,141,40.0
BAHook,141,31.0
BAHook,142,35.0
BAHook,142,36.0
BAHook,143,30.0
BAHook,143,31.0
BAHook,144,35.0
BAHook,144,36.0
BAHook,145,30.0
BAHook,145,41.0
BAHook,146,46.0
BAHook,146,25.0
BAHook,147,20.0
BAHook,147,41.0
BAHook,148,25.0
BAHook,148,46.0
BAHook,148,20.0
BAHook,149,20.0
BAHook,149,51.0
BAHook,150,15.0
BAHook,150,46.0
BAHook,150,20.0
BAHook,151,51.0
BAHook,151,20.0
BAHook,152,15.0
BAHook,152,46.0
BAHook,153,20.0
BAHook,153,41.0
BAHook,154,25.0
BAHook,154,36.0
BAHook,154,30.0
BAHook,155,30.0
BAHook,155,41.0
BAHook,156,46.0
BAHook,156,25.0
BAHook,157,20.0
BAHook,157,41.0
BAHook,158,25.0
BAHook,158,36.0
BAHook,159,30.0
BAHook,159,41.0
BAHook,160,25.0
BAHook,160,46.0
BAHook,161,20.0
BAHook,161,41.0
BAHook,162,46.0
BAHook,162,25.0
BAHook,163,20.0
BAHook,163,41.0
BAHook,163,25.0
BAHook,164,25.0
BAHook,164,46.0
BAHook,165,20.0
BAHook,165,51.0
BAHook,166,15.0
BAHook,166,56.0
BAHook,167,61.0
BAHook,167,10.0
BAHook,168,5.0
BAHook,168,66.0
BAHook,169,1.0
BAHook,169,71.0
BAHook,170,1.0
BAHook,170,76.0
BAHook,171,1.0
BAHook,171,81.0
BAHook,172,1.0
BAHook,172,86.0
BAHook,172,1.0
BAHook,173,1.0
BAHook,173,91.0
BAHook,174,1.0
BAHook,174,86.0
BAHook,175,6.0
BAHook,175,91.0
BAHook,176,1.0
BAHook,176,86.0
BAHook,177,6.0
BAHook,177,91.0
BAHook,178,86.0
BAHook,178,1.0
BAHook,179,6.0
BAHook,179,91.0
BAHook,180,1.0
BAHook,180,86.0
BAHook,181,6.0
BAHook,181,81.0
BAHook,182,11.0
BAHook,182,86.0
BAHook,183,91.0
BAHook,183,6.0
BAHook,184,1.0
BAHook,184,86.0
BAHook,185,6.0
BAHook,185,91.0
BAHook,186,1.0
BAHook,186,86.0
BAHook,187,6.0
BAHook,187,81.0
BAHook,188,11.0
BAHook,188,86.0
BAHook,189,81.0
BAHook,189,6.0
BAHook,190,76.0
BAHook,190,11.0
BAHook,191,16.0
BAHook,191,71.0
BAHook,192,21.0
BAHook,192,66.0
BAHook,193,26.0
BAHook,193,61.0
BAHook,194,31.0
BAHook,194,66.0
BAHook,195,26.0
BAHook,195,61.0
BAHook,196,56.0
BAHook,196,31.0
BAHook,197,36.0
BAHook,197,51.0
BAHook,198,41.0
BAHook,198,56.0
BAHook,199,36.0
BAHook,199,51.0
BAHook,200,41.0
BAHook,200,56.0
BAHook,201,61.0
BAHook,201,36.0
BAHook,202,31.0
BAHook,202,56.0
BAHook,203,36.0
BAHook,203,51.0
BAHook,204,41.0
BAHook,204,56.0
BAHook,205,36.0
BAHook,205,51.0
BAHook,206,56.0
BAHook,206,41.0
BAHook,207,36.0
BAHook,207,61.0
BAHook,208,31.0
BAHook,208,66.0
BAHook,209,26.0
BAHook,209,61.0
BAHook,210,31.0
BAHook,210,66.0
BAHook,211,26.0
BAHook,211,61.0
BAHook,212,66.0
BAHook,212,31.0
BAHook,213,26.0
BAHook,213,61.0
BAHook,214,31.0
BAHook,214,66.0
BAHook,215,26.0
BAHook,215,71.0
BAHook,216,21.0
BAHook,216,76.0
BAHook,217,81.0
BAHook,217,16.0
BAHook,218,11.0
BAHook,218,76.0
BAHook,219,16.0
BAHook,219,81.0
BAHook,220,11.0
BAHook,220,86.0
BAHook,221,6.0
BAHook,221,91.0
BAHook,222,96.0
BAHook,222,1.0
BAHook,223,91.0
BAHook,223,1.0
BAHook,224,6.0
BAHook,224,86.0
BAHook,225,11.0
BAHook,225,81.0
BAHook,226,16.0
BAHook,226,76.0
BAHook,227,21.0
BAHook,227,81.0
BAHook,228,86.0
BAHook,228,16.0
BAHook,229,11.0
BAHook,229,81.0
BAHook,230,16.0
BAHook,230,86.0
BAHook,231,11.0
BAHook,231,81.0
BAHook,232,16.0
BAHook,232,76.0
BAHook,233,21.0
BAHook,233,71.0
BAHook,234,26.0
BAHook,234,66.0
BAHook,235,61.0
BAHook,235,31.0
BAHook,236,56.0
BAHook,236,36.0
BAHook,237,41.0
BAHook,237,61.0
BAHook,238,36.0
BAHook,238,66.0
BAHook,239,31.0
BAHook,239,71.0
BAHook,240,26.0
BAHook,240,66.0
BAHook,241,31.0
BAHook,241,71.0
BAHook,242,66.0
BAHook,242,26.0
BAHook,243,31.0
BAHook,243,61.0
BAHook,244,36.0
BAHook,244,56.0
BAHook,245,41.0
BAHook,245,61.0
BAHook,246,36.0
BAHook,246,56.0
BAHook,247,61.0
BAHook,247,41.0
BAHook,248,56.0
BAHook,248,36.0
BAHook,249,41.0
BAHook,249,61.0
BAHook,250,36.0
BAHook,250,56.0
BAHook,251,41.0
BAHook,251,51.0
BAHook,252,46.0
BAHook,252,46.0
BAHook,253,51.0
BAHook,253,51.0
BAHook,254,46.0
BAHook,254,46.0
BAHook,255,51.0
BAHook,255,41.0
BAHook,256,56.0
BAHook,256,36.0
BAHook,257,61.0
BAHook,257,41.0
BAHook,258,56.0
BAHook,258,36.0
BAHook,259,41.0
BAHook,259,61.0
BAHook,260,56.0
BAHook,260,36.0
BAHook,261,61.0
BAHook,261,31.0
BAHook,262,66.0
BAHook,262,36.0
BAHook,263,61.0
BAHook,263,41.0
BAHook,264,46.0
BAHook,264,56.0
BAHook,265,51.0
BAHook,265,51.0
BAHook,266,46.0
BAHook,266,56.0
BAHook,267,41.0
BAHook,267,51.0
BAHook,268,46.0
BAHook,268,56.0
BAHook,269,41.0
BAHook,269,61.0
BAHook,270,66.0
BAHook,270,36.0
BAHook,271,31.0
BAHook,271,61.0
BAHook,272,36.0
BAHook,272,66.0
BAHook,273,31.0
BAHook,273,61.0
BAHook,274,36.0
BAHook,274,56.0
BAHook,275,51.0
BAHook,275,41.0
BAHook,276,46.0
BAHook,276,46.0
BAHook,277,51.0
BAHook,277,51.0
BAHook,278,46.0
BAHook,278,46.0
BAHook,279,51.0
BAHook,279,41.0
BAHook,280,56.0
BAHook,280,36.0
BAHook,281,61.0
BAHook,281,41.0
BAHook,282,46.0
BAHook,282,56.0
BAHook,283,51.0
BAHook,283,41.0
BAHook,284,56.0
BAHook,284,46.0
BAHook,285,51.0
BAHook,285,51.0
BAHook,286,46.0
BAHook,286,46.0
BAHook,287,41.0
BAHook,287,51.0
BAHook,288,56.0
BAHook,288,36.0
BAHook,289,61.0
BAHook,289,31.0
BAHook,289,66.0
BAHook,290,66.0
BAHook,290,26.0
BAHook,291,66.0
BAHook,291,71.0
BAHook,291,31.0
BAHook,292,61.0
BAHook,292,66.0
BAHook,292,36.0
BAHook,293,61.0
BAHook,293,31.0
BAHook,293,66.0
BAHook,294,66.0
BAHook,294,36.0
BAHook,294,61.0
BAHook,295,31.0
BAHook,295,61.0
BAHook,295,66.0
BAHook,296,61.0
BAHook,296,66.0
BAHook,296,36.0
BAHook,297,61.0
BAHook,297,31.0
BAHook,298,36.0
BAHook,298,66.0
BAHook,298,61.0
BAHook,299,31.0
BAHook,299,61.0
BAHook,300,71.0
BAHook,300,26.0
BAHook,300,66.0
BAHook,301,71.0
BAHook,301,31.0
BAHook,301,66.0
BAHook,302,66.0
BAHook,302,36.0
BAHook,303,61.0
BAHook,303,41.0
BAHook,303,56.0
BAHook,304,61.0
BAHook,304,36.0
BAHook,304,56.0
BAHook,305,61.0
BAHook,305,41.0
BAHook,305,56.0
BAHook,306,56.0
BAHook,306,46.0
BAHook,306,51.0
BAHook,307,51.0
BAHook,307,41.0
BAHook,308,61.0
BAHook,308,36.0
BAHook,308,56.0
BAHook,309,61.0
BAHook,309,31.0
BAHook,309,66.0
BAHook,310,66.0
BAHook,310,36.0
BAHook,310,61.0
BAHook,311,61.0
BAHook,311,31.0
BAHook,311,66.0
BAHook,312,61.0
BAHook,312,66.0
BAHook,312,36.0
BAHook,313,61.0
BAHook,313,41.0
BAHook,313,56.0
BAHook,314,56.0
BAHook,314,46.0
BAHook,314,51.0
BAHook,315,51.0
BAHook,315,51.0
BAHook,315,46.0
BAHook,316,46.0
BAHook,316,46.0
BAHook,317,46.0
BAHook,317,51.0
BAHook,317,51.0
BAHook,318,46.0
BAHook,318,46.0
BAHook,319,51.0
BAHook,319,41.0
BAHook,319,56.0
BAHook,320,56.0
BAHook,320,46.0
BAHook,320,51.0
BAHook,321,41.0
BAHook,321,51.0
BAHook,322,56.0
BAHook,322,36.0
BAHook,322,61.0
BAHook,323,61.0
BAHook,323,31.0
BAHook,323,66.0
BAHook,324,66.0
BAHook,324,26.0
BAHook,325,21.0
BAHook,325,76.0
BAHook,325,71.0
BAHook,326,76.0
BAHook,326,26.0
BAHook,326,71.0
BAHook,327,71.0
BAHook,327,31.0
BAHook,327,66.0
BAHook,328,61.0
BAHook,328,66.0
BAHook,328,36.0
BAHook,329,66.0
BAHook,329,61.0
BAHook,329,31.0
BAHook,330,66.0
BAHook,330,36.0
BAHook,330,61.0
BAHook,331,41.0
BAHook,331,61.0
BAHook,331,56.0
BAHook,332,46.0
BAHook,332,56.0
BAHook,332,51.0
BAHook,333,41.0
BAHook,333,51.0
BAHook,334,56.0
BAHook,334,46.0
BAHook,334,51.0
BAHook,335,51.0
BAHook,335,41.0
BAHook,336,56.0
BAHook,336,36.0
BAHook,337,61.0
BAHook,337,31.0
BAHook,338,71.0
BAHook,338,26.0
BAHook,338,66.0
BAHook,339,71.0
BAHook,339,31.0
BAHook,339,66.0
BAHook,340,66.0
BAHook,340,26.0
BAHook,341,71.0
BAHook,341,31.0
BAHook,342,66.0
BAHook,342,26.0
BAHook,343,31.0
BAHook,343,71.0
BAHook,344,66.0
BAHook,344,26.0
BAHook,345,71.0
BAHook,345,31.0
BAHook,345,66.0
BAHook,346,66.0
BAHook,346,36.0
BAHook,346,61.0
BAHook,347,31.0
BAHook,347,61.0
BAHook,348,66.0
BAHook,348,26.0
BAHook,349,71.0
BAHook,349,31.0
BAHook,350,66.0
BAHook,350,36.0
BAHook,351,61.0
BAHook,351,31.0
BAHook,352,66.0
BAHook,352,36.0
BAHook,353,61.0
BAHook,353,31.0
BAHook,354,26.0
BAHook,354,66.0
BAHook,355,71.0
BAHook,355,31.0
BAHook,356,66.0
BAHook,356,26.0
BAHook,356,71.0
BAHook,357,71.0
BAHook,357,21.0
